,Company Name,Symbol,Market,Price,Shares,Offer Amount,Date Priced,URL
35,FAIRPOINT COMMUNICATIONS INC,FRP,New York Stock Exchange,$18.50,"25,000,000","$462,500,000",2/4/2005,http://www.nasdaq.com/markets/ipos/company/fairpoint-communications-inc-52399-42515
36,"KU6 MEDIA CO., LTD",HRAY,NASDAQ,$10.25,"6,880,000","$70,520,000",2/4/2005,http://www.nasdaq.com/markets/ipos/company/ku6-media-co-ltd-660879-42897
37,ICAGEN INC,ICGN,NASDAQ,$8,"5,000,000","$40,000,000",2/3/2005,http://www.nasdaq.com/markets/ipos/company/icagen-inc-176053-38843
38,FIELDSTONE INVESTMENT CORP,FICC,NASDAQ,$17.50,"43,328,933","$758,256,328",2/3/2005,http://www.nasdaq.com/markets/ipos/company/fieldstone-investment-corp-608102-39114
39,DRYSHIPS INC.,DRYS,NASDAQ,$18,"13,000,000","$234,000,000",2/3/2005,http://www.nasdaq.com/markets/ipos/company/dryships-inc-660933-42911
40,"MMRGLOBAL, INC.",FVRL,NASDAQ,$7,"6,000,000","$42,000,000",2/2/2005,http://www.nasdaq.com/markets/ipos/company/mmrglobal-inc-630562-38816
41,ROME BANCORP INC,ROMED,NASDAQ,$10,"6,382,500","$63,825,000",3/31/2005,http://www.nasdaq.com/markets/ipos/company/rome-bancorp-inc-2467-42487
42,PRUDENTIAL BANCORP INC OF PENNSYLVANIA,PBIP,NASDAQ,$10,"5,653,688","$56,536,880",3/30/2005,http://www.nasdaq.com/markets/ipos/company/prudential-bancorp-inc-of-pennsylvania-649825-41336
43,DIANA SHIPPING INC.,DSX,New York Stock Exchange,$17,"12,375,000","$210,375,000",3/18/2005,http://www.nasdaq.com/markets/ipos/company/diana-shipping-inc-665935-43524
44,PANAMSAT HOLDING CORP,PA,New York Stock Exchange,$18,"50,000,000","$900,000,000",3/17/2005,http://www.nasdaq.com/markets/ipos/company/panamsat-holding-corp-658408-42582
45,"BOFI HOLDING, INC.",BOFI,NASDAQ,$11.50,"3,052,174","$35,100,001",3/15/2005,http://www.nasdaq.com/markets/ipos/company/bofi-holding-inc-658282-42527
46,SHAMIR OPTICAL INDUSTRY LTD.,SHMR,NASDAQ,$14,"4,000,000","$56,000,000",3/11/2005,http://www.nasdaq.com/markets/ipos/company/shamir-optical-industry-ltd-664030-43321
47,"INTERNATIONAL SECURITIES EXCHANGE HOLDINGS, INC.",ISE,New York Stock Exchange,$18,"10,049,308","$180,887,544",3/9/2005,http://www.nasdaq.com/markets/ipos/company/international-securities-exchange-holdings-inc-642065-40329
48,ASPREVA PHARMACEUTICALS CORP,ASPV,NASDAQ,$11,"7,200,000","$79,200,000",3/4/2005,http://www.nasdaq.com/markets/ipos/company/aspreva-pharmaceuticals-corp-661604-43033
49,KENTUCKY FIRST FEDERAL BANCORP,KFFB,NASDAQ,$10,"2,127,572","$21,275,720",3/3/2005,http://www.nasdaq.com/markets/ipos/company/kentucky-first-federal-bancorp-643203-41294
50,"VERIFONE SYSTEMS, INC.",PAY,New York Stock Exchange,$10,"15,400,000","$154,000,000",4/29/2005,http://www.nasdaq.com/markets/ipos/company/verifone-systems-inc-658618-42871
51,ACCURIDE CORP,ACW,New York Stock Exchange,$9,"11,000,000","$99,000,000",4/26/2005,http://www.nasdaq.com/markets/ipos/company/accuride-corp-50901-42869
52,NATIONAL ATLANTIC HOLDINGS CORP,NAHC,NASDAQ,$12,"6,650,000","$79,800,000",4/21/2005,http://www.nasdaq.com/markets/ipos/company/national-atlantic-holdings-corp-306481-40666
53,JORGENSEN EARLE M CO /DE/,JOR,New York Stock Exchange,$10,"17,600,000","$176,000,000",4/15/2005,http://www.nasdaq.com/markets/ipos/company/jorgensen-earle-m-co-de-26933-41505
54,DEXCOM INC,DXCM,NASDAQ,$12,"4,700,000","$56,400,000",4/14/2005,http://www.nasdaq.com/markets/ipos/company/dexcom-inc-112654-43174
55,"BLACK RAVEN ENERGY, INC.",PRB,American Stock Exchange,$5.50,"2,000,000","$11,000,000",4/12/2005,http://www.nasdaq.com/markets/ipos/company/black-raven-energy-inc-653852-41887
56,"FREIGHTCAR AMERICA, INC.",RAIL,NASDAQ,$19,"8,500,000","$161,500,000",4/6/2005,http://www.nasdaq.com/markets/ipos/company/freightcar-america-inc-667710-43705
57,"BROOKLYN FEDERAL BANCORP, INC.",BFSB,NASDAQ,$10,"3,450,000","$34,500,000",4/6/2005,http://www.nasdaq.com/markets/ipos/company/brooklyn-federal-bancorp-inc-658967-42659
58,"BENJAMIN FRANKLIN BANCORP, INC.",BFBC,NASDAQ,$10,"6,612,500","$66,125,000",4/5/2005,http://www.nasdaq.com/markets/ipos/company/benjamin-franklin-bancorp-inc-648410-42446
59,FASTCLICK INC,FSTC,NASDAQ,$12,"6,500,000","$78,000,000",4/1/2005,http://www.nasdaq.com/markets/ipos/company/fastclick-inc-195039-42627
60,DIAMONDROCK HOSPITALITY CO,DRH,New York Stock Exchange,$10.50,"26,087,000","$273,913,500",5/26/2005,http://www.nasdaq.com/markets/ipos/company/diamondrock-hospitality-co-644741-43532
61,"SSA GLOBAL TECHNOLOGIES, INC",SSAG,NASDAQ,$11,"9,000,000","$99,000,000",5/26/2005,http://www.nasdaq.com/markets/ipos/company/ssa-global-technologies-inc-385039-39833
62,TRANSMONTAIGNE PARTNERS L.P.,TLP,New York Stock Exchange,$21.40,"3,350,000","$71,690,000",5/25/2005,http://www.nasdaq.com/markets/ipos/company/transmontaigne-partners-lp-666881-43617
63,ROCKVILLE FINANCIAL INC.,RCKB,NASDAQ,$10,"8,357,050","$83,570,500",5/23/2005,http://www.nasdaq.com/markets/ipos/company/rockville-financial-inc-658407-42565
64,"VYTERIS, INC.",VYHN,OTCBB,$3.04,"12,960,174","$39,398,929",5/18/2005,http://www.nasdaq.com/markets/ipos/company/vyteris-inc-86381-42025
65,CITI TRENDS INC,CTRN,NASDAQ,$14,"3,850,000","$53,900,000",5/18/2005,http://www.nasdaq.com/markets/ipos/company/citi-trends-inc-665794-43511
66,XERIUM TECHNOLOGIES INC,XRM,New York Stock Exchange,$12,"13,399,233","$160,790,796",5/16/2005,http://www.nasdaq.com/markets/ipos/company/xerium-technologies-inc-632127-39057
67,WARNER MUSIC GROUP CORP.,WMG,New York Stock Exchange,$17,"32,600,000","$554,200,000",5/11/2005,http://www.nasdaq.com/markets/ipos/company/warner-music-group-corp-667095-43632
68,NEW SKIES SATELLITES HOLDINGS LTD.,NSE,New York Stock Exchange,$16.50,"11,900,000","$196,350,000",5/10/2005,http://www.nasdaq.com/markets/ipos/company/new-skies-satellites-holdings-ltd-662133-43087
69,"BOIS D ARC ENERGY, INC.",BDE,New York Stock Exchange,$13,"13,500,000","$175,500,000",5/6/2005,http://www.nasdaq.com/markets/ipos/company/bois-d-arc-energy-inc-651278-41553
70,CHINA TECHFAITH WIRELESS COMMUNICATION TECHNOLOGY LTD,CNTF,NASDAQ,$16.25,"8,726,957","$141,813,051",5/6/2005,http://www.nasdaq.com/markets/ipos/company/china-techfaith-wireless-communication-technology-ltd-669887-44017
71,ZUMIEZ INC,ZUMZ,NASDAQ,$18,"3,125,000","$56,250,000",5/6/2005,http://www.nasdaq.com/markets/ipos/company/zumiez-inc-664847-43417
72,TEEKAY LNG PARTNERS L.P.,TGP,New York Stock Exchange,$22,"6,000,000","$132,000,000",5/5/2005,http://www.nasdaq.com/markets/ipos/company/teekay-lng-partners-lp-656061-42206
73,LAZARD LTD,LAZ,New York Stock Exchange,$25,"34,183,162","$854,579,050",5/5/2005,http://www.nasdaq.com/markets/ipos/company/lazard-ltd-658380-42560
74,"MORNINGSTAR, INC.",MORN,NASDAQ,$18.50,"7,612,500","$140,831,250",5/3/2005,http://www.nasdaq.com/markets/ipos/company/morningstar-inc-634142-39344
75,COFFEE HOLDING CO INC,JVA,American Stock Exchange,$5,"1,400,000","$7,000,000",5/3/2005,http://www.nasdaq.com/markets/ipos/company/coffee-holding-co-inc-40625-40156
76,"CLEARPOINT BUSINESS RESOURCES, INC",TNVA,OTCBB,$6,"4,800,000","$28,800,000",5/3/2005,http://www.nasdaq.com/markets/ipos/company/clearpoint-business-resources-inc-662659-43157
77,COLONIAL BANKSHARES INC,COBK,NASDAQ,$10,"2,250,895","$22,508,950",6/30/2005,http://www.nasdaq.com/markets/ipos/company/colonial-bankshares-inc-668537-43813
78,RENASANT CORPORATION,HBOS,NASDAQ,$10,"3,372,375","$33,723,750",6/30/2005,http://www.nasdaq.com/markets/ipos/company/renasant-corporation-668526-43812
79,SILICON MOTION TECHNOLOGY CORP,SIMO,NASDAQ,$10.50,"6,700,000","$70,350,000",6/30/2005,http://www.nasdaq.com/markets/ipos/company/silicon-motion-technology-corp-676553-44995
80,"JAMBA, INC.",SVI.U,American Stock Exchange,$8,"15,000,000","$120,000,000",6/30/2005,http://www.nasdaq.com/markets/ipos/company/jamba-inc-664365-43376
81,TAC ACQUISITION CORP.,TACAU,OTCBB,$6,"20,000,000","$120,000,000",6/30/2005,http://www.nasdaq.com/markets/ipos/company/tac-acquisition-corp-667708-43704
82,VOLCOM INC,VLCM,NASDAQ,$19,"4,687,500","$89,062,500",6/30/2005,http://www.nasdaq.com/markets/ipos/company/volcom-inc-672190-44367
83,WESTERN ALLIANCE BANCORPORATION,WAL,New York Stock Exchange,$22,"3,750,000","$82,500,000",6/30/2005,http://www.nasdaq.com/markets/ipos/company/western-alliance-bancorporation-389887-44307
84,"COLUMBIA EQUITY TRUST, INC.",COE,New York Stock Exchange,$15,"12,000,000","$180,000,000",6/29/2005,http://www.nasdaq.com/markets/ipos/company/columbia-equity-trust-inc-663589-43268
85,CIFC CORP.,DFR,New York Stock Exchange,$16,"25,000,000","$400,000,000",6/29/2005,http://www.nasdaq.com/markets/ipos/company/cifc-corp-660567-43932
86,DSW INC.,DSW,New York Stock Exchange,$19,"14,062,500","$267,187,500",6/29/2005,http://www.nasdaq.com/markets/ipos/company/dsw-inc-667220-43649
87,NEUSTAR INC,NSR,New York Stock Exchange,$22,"27,500,000","$605,000,000",6/29/2005,http://www.nasdaq.com/markets/ipos/company/neustar-inc-598815-43852
88,HEMOSENSE INC,HEM,American Stock Exchange,$5.50,"3,500,000","$19,250,000",6/28/2005,http://www.nasdaq.com/markets/ipos/company/hemosense-inc-184166-43897
89,KKR FINANCIAL CORP,KFN,New York Stock Exchange,$24,"33,333,334","$800,000,016",6/24/2005,http://www.nasdaq.com/markets/ipos/company/kkr-financial-corp-647667-44120
90,KENEXA CORP,KNXA,NASDAQ,$12,"5,000,000","$60,000,000",6/24/2005,http://www.nasdaq.com/markets/ipos/company/kenexa-corp-77079-44078
91,BANKFINANCIAL CORP,BFIN,NASDAQ,$10,"24,466,250","$244,662,500",6/24/2005,http://www.nasdaq.com/markets/ipos/company/bankfinancial-corp-650233-41381
92,TBS INTERNATIONAL LTD,TBSI,NASDAQ,$10,"8,160,000","$81,600,000",6/24/2005,http://www.nasdaq.com/markets/ipos/company/tbs-international-ltd-222910-43580
93,LINCOLN EDUCATIONAL SERVICES CORP,LINC,NASDAQ,$20,"4,000,000","$80,000,000",6/23/2005,http://www.nasdaq.com/markets/ipos/company/lincoln-educational-services-corp-668808-43860
94,EAGLE BULK SHIPPING INC.,EGLE,NASDAQ,$14,"14,400,000","$201,600,000",6/23/2005,http://www.nasdaq.com/markets/ipos/company/eagle-bulk-shipping-inc-669389-43953
95,"BUILDERS FIRSTSOURCE, INC.",BLDR,NASDAQ,$16,"12,250,000","$196,000,000",6/22/2005,http://www.nasdaq.com/markets/ipos/company/builders-firstsource-inc-664289-43370
96,ALLION HEALTHCARE INC,ALLI,NASDAQ,$13,"4,000,000","$52,000,000",6/22/2005,http://www.nasdaq.com/markets/ipos/company/allion-healthcare-inc-23949-44117
97,CRESTWOOD HOLDINGS LP,NRGP,NASDAQ,$22.50,"3,400,000","$76,500,000",6/21/2005,http://www.nasdaq.com/markets/ipos/company/crestwood-holdings-lp-662898-43189
98,NUVIM INC,NUVMU,OTCBB,$1,"2,700,000","$2,700,000",6/21/2005,http://www.nasdaq.com/markets/ipos/company/nuvim-inc-106798-42321
99,MICRUS ENDOVASCULAR CORP,MEND,NASDAQ,$11,"3,250,000","$35,750,000",6/16/2005,http://www.nasdaq.com/markets/ipos/company/micrus-endovascular-corp-113557-43578
100,EV3 INC.,EVVV,NASDAQ,$14,"11,765,000","$164,710,000",6/16/2005,http://www.nasdaq.com/markets/ipos/company/ev3-inc-669511-43974
101,GENTIUM S.P.A.,GNT,American Stock Exchange,$9,"2,400,000","$21,600,000",6/16/2005,http://www.nasdaq.com/markets/ipos/company/gentium-spa-661605-43034
102,"PREMIUM STANDARD FARMS, INC.",PORK,NASDAQ,$12.50,"9,842,460","$123,030,750",6/14/2005,http://www.nasdaq.com/markets/ipos/company/premium-standard-farms-inc-88178-43635
103,SILICON GRAPHICS INTERNATIONAL CORP,RACK,NASDAQ,$12,"6,250,000","$75,000,000",6/10/2005,http://www.nasdaq.com/markets/ipos/company/silicon-graphics-international-corp-663281-43233
104,"LHC GROUP, INC",LHCG,NASDAQ,$14,"4,800,000","$67,200,000",6/9/2005,http://www.nasdaq.com/markets/ipos/company/lhc-group-inc-656239-42247
105,NEWLEAD HOLDINGS LTD.,RAMS,NASDAQ,$12.50,"12,240,000","$153,000,000",6/3/2005,http://www.nasdaq.com/markets/ipos/company/newlead-holdings-ltd-674021-44634
106,XENOPORT INC,XNPT,NASDAQ,$10.50,"5,000,000","$52,500,000",6/2/2005,http://www.nasdaq.com/markets/ipos/company/xenoport-inc-113775-42994
107,"GOLF GALAXY, INC.",GGXY,NASDAQ,$14,"3,950,000","$55,300,000",7/29/2005,http://www.nasdaq.com/markets/ipos/company/golf-galaxy-inc-674272-44663
108,"PHARMATHENE, INC",HAQ.U,American Stock Exchange,$8,"9,000,000","$72,000,000",7/29/2005,http://www.nasdaq.com/markets/ipos/company/pharmathene-inc-673145-44494
109,"SUPERIOR WELL SERVICES, INC",SWSI,NASDAQ,$13,"5,620,000","$73,060,000",7/29/2005,http://www.nasdaq.com/markets/ipos/company/superior-well-services-inc-673021-44468
110,"ALON USA ENERGY, INC.",ALJ,New York Stock Exchange,$16,"10,200,000","$163,200,000",7/28/2005,http://www.nasdaq.com/markets/ipos/company/alon-usa-energy-inc-673482-44546
111,PIKE CORP,PEC,New York Stock Exchange,$14,"13,500,000","$189,000,000",7/27/2005,http://www.nasdaq.com/markets/ipos/company/pike-corp-670779-44123
112,ITC HOLDINGS CORP.,ITC,New York Stock Exchange,$23,"12,500,000","$287,500,000",7/26/2005,http://www.nasdaq.com/markets/ipos/company/itc-holdings-corp-668827-43870
113,MAIDENFORM BRANDS LLC,MFB,New York Stock Exchange,$17,"12,794,067","$217,499,139",7/22/2005,http://www.nasdaq.com/markets/ipos/company/maidenform-brands-llc-671302-44200
114,HITTITE MICROWAVE CORP,HITT,NASDAQ,$17,"4,500,000","$76,500,000",7/22/2005,http://www.nasdaq.com/markets/ipos/company/hittite-microwave-corp-180282-44462
115,GENCO SHIPPING & TRADING LTD,GSTL,NASDAQ,$21,"11,760,000","$246,960,000",7/22/2005,http://www.nasdaq.com/markets/ipos/company/genco-shipping-trading-ltd-673159-44495
116,"CONSOLIDATED COMMUNICATIONS HOLDINGS, INC.",CNSL,NASDAQ,$13,"15,666,666","$203,666,658",7/22/2005,http://www.nasdaq.com/markets/ipos/company/consolidated-communications-holdings-inc-653320-42415
117,"ADAMS RESPIRATORY THERAPEUTICS, INC.",ARXT,NASDAQ,$17,"7,950,000","$135,150,000",7/21/2005,http://www.nasdaq.com/markets/ipos/company/adams-respiratory-therapeutics-inc-668554-43815
118,DIAMOND FOODS INC,DMND,NASDAQ,$17,"6,000,000","$102,000,000",7/21/2005,http://www.nasdaq.com/markets/ipos/company/diamond-foods-inc-668506-43805
119,FPB BANCORP INC,FPBI,NASDAQ,$13,"800,000","$10,400,000",7/21/2005,http://www.nasdaq.com/markets/ipos/company/fpb-bancorp-inc-92478-43623
120,"PEPPERBALL TECHNOLOGIES, INC.",SWATU,NASDAQ,$6,"1,200,000","$7,200,000",7/18/2005,http://www.nasdaq.com/markets/ipos/company/pepperball-technologies-inc-393262-44208
121,ORCHIDS PAPER PRODUCTS CO /DE,TIS,American Stock Exchange,$8,"1,875,000","$15,000,000",7/15/2005,http://www.nasdaq.com/markets/ipos/company/orchids-paper-products-co-de-671093-44166
122,BIRD ACQUISITION CORP.,QMAR,NASDAQ,$11.50,"16,700,000","$192,050,000",7/15/2005,http://www.nasdaq.com/markets/ipos/company/bird-acquisition-corp-672643-44418
123,"TSS, INC.",FAACU,OTCBB,$6,"7,000,000","$42,000,000",7/15/2005,http://www.nasdaq.com/markets/ipos/company/tss-inc-668186-43767
124,CRYOCOR INC,CRYO,NASDAQ,$11,"3,709,090","$40,799,990",7/14/2005,http://www.nasdaq.com/markets/ipos/company/cryocor-inc-186843-43968
125,"IXI MOBILE, INC.",ISLT,OTCBB,$6,"6,000,000","$36,000,000",7/14/2005,http://www.nasdaq.com/markets/ipos/company/ixi-mobile-inc-667480-43684
126,JER INVESTORS TRUST INC,JRT,New York Stock Exchange,$17.75,"12,222,399","$216,947,582",7/14/2005,http://www.nasdaq.com/markets/ipos/company/jer-investors-trust-inc-639942-43373
127,ALERITAS CAPITAL CORP.,OMACU,OTCBB,$6,"8,000,000","$48,000,000",7/14/2005,http://www.nasdaq.com/markets/ipos/company/aleritas-capital-corp-672761-44438
128,"OTTAWA SAVINGS BANCORP, INC.",OTTW,OTCBB,$10,"1,547,325","$15,473,250",7/13/2005,http://www.nasdaq.com/markets/ipos/company/ottawa-savings-bancorp-inc-667935-43736
129,UNITED FINANCIAL BANCORP INC,UBNK,NASDAQ,$10,"7,672,153","$76,721,530",7/13/2005,http://www.nasdaq.com/markets/ipos/company/united-financial-bancorp-inc-667674-43701
130,FOCUS MEDIA HOLDING LTD,FMCN,NASDAQ,$17,"10,100,000","$171,700,000",7/13/2005,http://www.nasdaq.com/markets/ipos/company/focus-media-holding-ltd-676890-45045
131,MEDICAL PROPERTIES TRUST INC,MPW,New York Stock Exchange,$10.50,"12,066,823","$126,701,642",7/8/2005,http://www.nasdaq.com/markets/ipos/company/medical-properties-trust-inc-631979-41792
132,AMERICAN COMMUNITY NEWSPAPERS INC.,CRB/U,American Stock Exchange,$6,"12,000,000","$72,000,000",7/1/2005,http://www.nasdaq.com/markets/ipos/company/american-community-newspapers-inc-671880-44295
133,180 CONNECT INC.,AVPAU,OTCBB,$6,"9,000,000","$54,000,000",8/26/2005,http://www.nasdaq.com/markets/ipos/company/180-connect-inc-670950-44142
134,ENTERPRISE GP HOLDINGS L.P.,EPE,New York Stock Exchange,$28,"12,600,000","$352,800,000",8/24/2005,http://www.nasdaq.com/markets/ipos/company/enterprise-gp-holdings-lp-671598-44253
135,"RMX HOLDINGS, INC.",RMX,American Stock Exchange,$11,"1,550,000","$17,050,000",8/24/2005,http://www.nasdaq.com/markets/ipos/company/rmx-holdings-inc-664066-43338
136,NARROWSTEP INC,NRWS,OTCBB,$1.20,"18,459,618","$22,151,542",8/23/2005,http://www.nasdaq.com/markets/ipos/company/narrowstep-inc-594415-35352
137,ALUS LIQUIDATION CORP,ITHKU,OTCBB,$6,"8,500,000","$51,000,000",8/19/2005,http://www.nasdaq.com/markets/ipos/company/alus-liquidation-corp-672274-44388
138,WILLIAMS PARTNERS L.P.,WPZ,New York Stock Exchange,$21.50,"5,000,000","$107,500,000",8/18/2005,http://www.nasdaq.com/markets/ipos/company/williams-partners-lp-672258-44382
139,"ROCKWOOD HOLDINGS, INC.",ROC,New York Stock Exchange,$20,"20,408,163","$408,163,260",8/17/2005,http://www.nasdaq.com/markets/ipos/company/rockwood-holdings-inc-664119-43347
140,KONA GRILL INC,KONA,NASDAQ,$11,"2,500,000","$27,500,000",8/16/2005,http://www.nasdaq.com/markets/ipos/company/kona-grill-inc-598218-44906
141,"BRONCO DRILLING COMPANY, INC.",BRNC,NASDAQ,$17,"5,100,000","$86,700,000",8/16/2005,http://www.nasdaq.com/markets/ipos/company/bronco-drilling-company-inc-675749-44867
142,"CF INDUSTRIES HOLDINGS, INC.",CF,New York Stock Exchange,$16,"41,250,000","$660,000,000",8/11/2005,http://www.nasdaq.com/markets/ipos/company/cf-industries-holdings-inc-673987-44628
143,HEARTLAND PAYMENT SYSTEMS INC,HPY,New York Stock Exchange,$18,"6,750,000","$121,500,000",8/11/2005,http://www.nasdaq.com/markets/ipos/company/heartland-payment-systems-inc-157570-40810
144,REFCO INC.,RFX,New York Stock Exchange,$22,"26,500,000","$583,000,000",8/11/2005,http://www.nasdaq.com/markets/ipos/company/refco-inc-670042-44041
145,RBC BEARINGS INC,ROLL,NASDAQ,$14.50,"9,288,000","$134,676,000",8/10/2005,http://www.nasdaq.com/markets/ipos/company/rbc-bearings-inc-673643-44559
146,REDDY ICE HOLDINGS INC,FRZ,New York Stock Exchange,$18.50,"10,200,000","$188,700,000",8/10/2005,http://www.nasdaq.com/markets/ipos/company/reddy-ice-holdings-inc-605136-43333
